index1,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_p,g1_p,g2_p,g3_p,absences_m,g1_m,g2_m,g3_m
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,3,2,3,1,2,2,10.0,13.0,13.0,14.0,0.0,0.0,0.0,0.0
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,2.0,13.0,14.0,14.0,4.0,8.0,10.0,10.0
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,no,3,1,3,1,3,5,6.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,1,1,0.0,12.0,13.0,14.0,0.0,13.0,14.0,15.0
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,1,1,5,0.0,11.0,12.0,12.0,0.0,12.0,15.0,15.0
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,0.0,12.0,13.0,14.0,2.0,15.0,15.0,16.0
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,2.0,10.0,10.0,10.0,0.0,13.0,13.0,12.0
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2.0,10.0,11.0,10.0,0.0,0.0,0.0,0.0
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,yes,yes,no,1,2,2,1,3,5,6.0,10.0,11.0,12.0,0.0,0.0,0.0,0.0
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,2,2,1,2,5,8.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,no,2,2,4,2,4,1,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4.0,12.0,11.0,12.0,16.0,10.0,12.0,11.0
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0.0,10.0,11.0,11.0,0.0,9.0,11.0,12.0
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,2.0,15.0,15.0,15.0,0.0,17.0,16.0,17.0
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0.0,13.0,14.0,15.0,0.0,17.0,16.0,16.0
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,2,1,1,2,0.0,13.0,12.0,12.0,0.0,8.0,10.0,12.0
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,no,5,4,3,1,1,5,4.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,4.0,11.0,11.0,11.0,0.0,8.0,7.0,6.0
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,0.0,14.0,14.0,14.0,2.0,15.0,16.0,18.0
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,4.0,13.0,13.0,13.0,7.0,15.0,16.0,15.0
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,no,no,4,3,1,1,1,2,8.0,14.0,13.0,12.0,0.0,0.0,0.0,0.0
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,3,16.0,11.0,11.0,10.0,0.0,0.0,0.0,0.0
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8.0,10.0,11.0,11.0,8.0,12.0,12.0,12.0
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0.0,14.0,15.0,15.0,2.0,19.0,18.0,18.0
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,0.0,9.0,10.0,10.0,0.0,8.0,8.0,11.0
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14.0,10.0,11.0,11.0,14.0,10.0,10.0,9.0
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4.0,10.0,11.0,11.0,8.0,8.0,8.0,6.0
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,6.0,13.0,12.0,13.0,12.0,11.0,12.0,11.0
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,2.0,17.0,17.0,17.0,4.0,19.0,19.0,20.0
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,3,2,2,5,4.0,11.0,12.0,13.0,0.0,0.0,0.0,0.0
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,3,2.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,no,4,3,3,2,3,4,0.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,no,4,3,3,1,1,5,0.0,16.0,14.0,16.0,0.0,0.0,0.0,0.0
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,no,no,5,5,5,3,4,5,4.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,3,3,4,2,3,5,0.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,no,5,3,4,4,4,1,0.0,13.0,12.0,13.0,0.0,0.0,0.0,0.0
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,3,4,1,1,2,2.0,12.0,13.0,12.0,0.0,0.0,0.0,0.0
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,1,1,1,0.0,15.0,14.0,15.0,0.0,0.0,0.0,0.0
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,8.0,15.0,15.0,16.0,4.0,14.0,15.0,15.0
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0.0,14.0,13.0,14.0,2.0,9.0,10.0,9.0
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,2,3,1,1,5,2.0,16.0,15.0,16.0,0.0,0.0,0.0,0.0
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,0.0,17.0,16.0,16.0,6.0,10.0,11.0,11.0
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,5,5,0.0,10.0,10.0,16.0,6.0,10.0,8.0,11.0
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,0.0,13.0,13.0,10.0,4.0,8.0,10.0,9.0
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,no,3,4,4,2,4,4,0.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0.0,13.0,12.0,12.0,0.0,10.0,10.0,10.0
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2.0,16.0,15.0,16.0,2.0,16.0,15.0,15.0
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,5,5,3,0.0,11.0,12.0,12.0,4.0,13.0,13.0,12.0
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,no,4,3,3,1,2,5,0.0,10.0,9.0,10.0,0.0,0.0,0.0,0.0
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,no,4,1,3,1,3,4,0.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,6.0,15.0,15.0,15.0,12.0,16.0,16.0,16.0
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,no,4,3,2,1,1,5,2.0,13.0,11.0,11.0,0.0,0.0,0.0,0.0
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,no,3,3,3,1,1,3,0.0,11.0,9.0,10.0,0.0,10.0,10.0,10.0
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,2.0,13.0,11.0,11.0,0.0,0.0,0.0,0.0
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,0.0,13.0,13.0,14.0,2.0,12.0,12.0,14.0
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,3,2,4,5,4.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,2,3,5,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,0.0,12.0,11.0,11.0,8.0,11.0,11.0,10.0
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,5,2,3,1,3,3,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,1,1,3,0.0,9.0,9.0,10.0,2.0,8.0,8.0,10.0
79,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,1,2,3,14.0,12.0,11.0,11.0,12.0,5.0,5.0,5.0
80,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,yes,yes,yes,3,2,2,1,3,3,0.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0
81,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,yes,yes,no,5,3,2,1,2,5,2.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0
82,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,4,4,4,1,1,5,4.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0
83,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,2.0,13.0,12.0,13.0,4.0,15.0,15.0,15.0
84,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,2,3,4,2.0,13.0,12.0,12.0,2.0,9.0,10.0,10.0
85,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,4,4,4,2,3,5,4.0,12.0,11.0,12.0,0.0,0.0,0.0,0.0
86,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,4,1,2,2,6.0,13.0,11.0,11.0,4.0,8.0,7.0,6.0
87,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,4.0,15.0,15.0,15.0,4.0,13.0,14.0,14.0
88,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,yes,yes,no,4,4,2,1,1,3,6.0,12.0,10.0,11.0,0.0,0.0,0.0,0.0
89,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,no,no,4,1,3,3,5,5,6.0,9.0,9.0,10.0,18.0,8.0,6.0,7.0
90,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,4,3,3,1,3,4,2.0,9.0,11.0,11.0,0.0,0.0,0.0,0.0
91,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,4,5,5,1,3,1,6.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0
92,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,3,2,0.0,12.0,13.0,12.0,4.0,7.0,6.0,6.0
93,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,1,2.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0
94,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,no,4,3,4,1,1,4,2.0,11.0,12.0,12.0,6.0,11.0,13.0,14.0
95,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0
96,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,yes,yes,no,3,3,3,1,1,4,6.0,9.0,11.0,11.0,0.0,0.0,0.0,0.0
97,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,no,yes,no,yes,4,3,5,1,1,5,0.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0
98,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,5,3,4,1,2,1,4.0,12.0,13.0,13.0,6.0,11.0,14.0,14.0
99,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,no,5,3,5,1,1,3,2.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0
100,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,no,4,5,5,5,5,4,12.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0
101,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0.0,16.0,16.0,16.0,0.0,16.0,17.0,17.0
102,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2.0,12.0,13.0,12.0,0.0,0.0,0.0,0.0
103,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,4,3,5,1,1,2,16.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0
104,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,1,1,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0
105,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,no,no,4,3,3,1,1,4,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
106,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,no,5,1,2,1,1,3,4.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
107,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4.0,13.0,14.0,14.0,2.0,16.0,18.0,18.0
108,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,1,3,5,3,5,1,8.0,12.0,10.0,11.0,0.0,0.0,0.0,0.0
109,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,5,4,5,1,1,4,2.0,15.0,15.0,14.0,0.0,0.0,0.0,0.0
110,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,no,5,5,3,1,1,4,4.0,13.0,14.0,14.0,6.0,18.0,19.0,19.0
111,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,2,4.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0
112,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,no,3,1,2,1,1,5,12.0,8.0,10.0,10.0,6.0,10.0,13.0,13.0
113,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,no,3,5,2,1,1,3,10.0,18.0,17.0,18.0,10.0,18.0,19.0,19.0
114,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,4.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0
115,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,2,5,6.0,16.0,14.0,14.0,2.0,15.0,15.0,16.0
116,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,no,no,4,4,3,1,1,2,4.0,16.0,15.0,16.0,2.0,11.0,13.0,14.0
117,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,no,5,4,2,1,1,5,6.0,14.0,14.0,15.0,0.0,13.0,14.0,13.0
118,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,no,5,2,4,1,4,5,14.0,12.0,11.0,11.0,20.0,9.0,7.0,8.0
119,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,no,3,4,3,1,2,4,2.0,14.0,13.0,14.0,6.0,14.0,13.0,13.0
120,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0.0,14.0,14.0,14.0,2.0,16.0,15.0,15.0
121,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,no,5,5,4,1,2,5,6.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0
122,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,4,2,2,1,2,5,2.0,14.0,12.0,13.0,0.0,0.0,0.0,0.0
123,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,3,4,4,1,4,5,4.0,12.0,13.0,13.0,18.0,14.0,11.0,13.0
124,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,5,4,4,1,1,5,0.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0
125,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,no,5,5,5,3,2,5,2.0,9.0,9.0,9.0,0.0,13.0,13.0,12.0
126,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,2,1,1,1,0.0,10.0,11.0,11.0,0.0,7.0,10.0,11.0
127,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,3,4,2,1,1,5,0.0,9.0,10.0,11.0,0.0,0.0,0.0,0.0
128,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,no,3,5,5,2,5,4,8.0,14.0,14.0,15.0,0.0,0.0,0.0,0.0
129,GP,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,3,2,3,2,2,1,4.0,13.0,12.0,13.0,0.0,0.0,0.0,0.0
130,GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,4,2,2,2,2,5,0.0,10.0,11.0,12.0,0.0,0.0,0.0,0.0
131,GP,F,18,U,GT3,T,2,1,services,other,reputation,mother,1,2,3,no,yes,no,yes,no,yes,yes,5,4,5,1,3,5,10.0,10.0,9.0,8.0,0.0,0.0,0.0,0.0
132,GP,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,no,3,2,2,1,2,5,8.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0
133,GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,2,4,6.0,11.0,12.0,13.0,0.0,8.0,0.0,0.0
134,GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,2.0,13.0,12.0,12.0,12.0,10.0,13.0,12.0
135,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,no,3,2,1,1,4,5,12.0,15.0,13.0,14.0,16.0,12.0,11.0,11.0
136,GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,4,1,0,no,no,no,no,yes,no,no,3,2,1,1,1,2,4.0,9.0,9.0,11.0,0.0,0.0,0.0,0.0
137,GP,F,16,U,GT3,A,2,2,other,other,home,mother,1,1,1,no,no,no,no,yes,no,no,5,3,4,1,1,5,12.0,13.0,11.0,11.0,0.0,0.0,0.0,0.0
